date,origin_index,risk_cost,downside_budget,continuous_budget,joint_downside_second_moment,previous_budget_downside_second_moment,downside_gradient,risk_status,risk_update_scheduled,risk_attempt_origin,last_successful_risk_origin,risk_window_start,risk_window_observations,downside_reference_return,continuous_reference_return,target_cost,downside_parent_target,continuous_parent_target,target
2015-01-05,633,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-01-05,,2015-01-05,1,0.006908697999999935,0.011338392600000136,BASE,0.3043367269833397,0.5,0.40216836349166984
2015-02-02,653,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-02-02,,2015-01-05,21,0.0,0.0,BASE,0.0,0.0,0.0
2015-03-02,668,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-03-02,,2015-01-05,36,0.004013465302594943,0.004023097829643607,BASE,0.4710789464646149,0.5,0.48553947323230745
2015-04-01,690,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-04-01,,2015-01-05,58,0.015671959148431336,0.008880742684032494,BASE,1.0,0.5,0.75
2015-05-04,711,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-05-04,,2015-01-05,79,0.004092470490049127,0.0031941774102459686,BASE,0.7257504207417794,0.5,0.6128752103708897
2015-06-01,731,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-06-01,,2015-01-05,99,0.0,0.0,BASE,0.0,0.0,0.0
2015-07-01,752,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-07-01,,2015-01-05,120,0.0,0.0,BASE,0.0,0.0,0.0
2015-08-03,775,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-08-03,,2015-01-05,143,0.0,0.0,BASE,0.0,0.0,0.0
2015-09-01,796,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-09-01,,2015-01-05,164,0.0,-0.0032308557178947206,BASE,0.0,0.8143235163188842,0.4071617581594421
2015-10-08,816,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-10-08,,2015-01-05,184,0.010844124511244502,0.006553921760576564,BASE,0.2938817725497445,0.22272152508793364,0.2583016488188391
2015-11-02,833,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-11-02,,2015-01-05,201,-0.007665627727440061,-0.0033216473474818597,BASE,0.45096696208819853,0.21211242657082097,0.33153969432950975
2015-12-01,854,BASE,0.5,0.5,,,,NO_VIEW_WARMUP_KEEP_BUDGET,True,2015-12-01,,2015-01-05,222,0.002619630970312814,0.0015480452713039217,BASE,0.35552718797340677,0.2011984350189845,0.27836281149619563
2016-01-04,877,BASE,0.6729009325678894,0.3270990674321106,2.871862696005962e-05,2.937278162890228e-05,2.688104559881416e-21,JOINT_DOWNSIDE_CONVEX_MINIMUM,True,2016-01-04,2016-01-04,2015-01-08,242,0.0,0.0,BASE,0.0,0.0,0.0
2016-02-01,897,BASE,0.7323816833429555,0.2676183166570445,1.954916881601291e-05,1.9654929215375193e-05,5.073578294076335e-21,JOINT_DOWNSIDE_CONVEX_MINIMUM,True,2016-02-01,2016-02-01,2015-02-05,242,0.0,-0.008508781865084192,BASE,0.0,0.6806990897385812,0.18216754454582157
